id,cc,sex,gen,dob,day,sire,dam
8611,white,F,F7,6/3/1997,Tu,6740,6957
8664,black,F,F7,6/4/1997,W,6945,7082
8665,black,M,F7,6/4/1997,W,6945,7082
8688,black,F,F7,6/4/1997,W,7216,6892
8692,white,M,F7,6/4/1997,W,7216,6892
8693,white,M,F7,6/4/1997,W,7216,6892
8695,tan,M,F7,6/4/1997,W,7408,6959
8701,tan,F,F7,6/4/1997,W,7408,6959
8708,black,F,F7,6/4/1997,W,7505,7493
8717,white,M,F7,6/4/1997,W,7014,7444
8721,black,F,F7,6/4/1997,W,7014,7444
8722,black,F,F7,6/4/1997,W,7014,7444
8728,tan,F,F7,6/4/1997,W,6954,7463
8734,black,M,F7,6/4/1997,W,6954,7463
8740,white,F,F7,6/4/1997,W,7488,7502
8745,black,F,F7,6/4/1997,W,7488,7502
8747,black,M,F7,6/4/1997,W,7488,7502
8749,black,M,F7,6/5/1997,Th,6752,6741
8767,tan,M,F7,6/4/1997,W,6954,7463
8778,black,F,F7,6/5/1997,Th,6755,6745
8822,black,M,F7,6/5/1997,Th,6881,7024
8824,tan,M,F7,6/5/1997,Th,6881,7024
8828,white,F,F7,6/5/1997,Th,6881,7024
8841,tan,F,F7,6/5/1997,Th,6943,6981
8844,white,M,F7,6/5/1997,Th,6943,6981
8851,white,F,F7,6/5/1997,Th,6943,6981
8868,black,M,F7,6/5/1997,Th,7073,7028
8875,black,F,F7,6/5/1997,Th,7073,7028
8876,white,F,F7,6/5/1997,Th,7073,7028
8942,black,F,F7,6/5/1997,Th,7348,7222
8949,white,M,F7,6/5/1997,Th,7348,7222
8951,tan,F,F7,6/5/1997,Th,7393,7210
8955,tan,F,F7,6/5/1997,Th,7393,7210
8956,white,M,F7,6/5/1997,Th,7393,7210
8968,black,M,F7,6/6/1997,F,7006,6751
8971,black,F,F7,6/6/1997,F,7006,6751
8976,white,F,F7,6/6/1997,F,7006,6751
9027,white,M,F7,6/6/1997,F,7146,6876
