dam sire kinship
15742 16060 0
16058 16012 0
15647 15303 0
15299 15649 0
15388 15243 0
15677 15367 0
15681 16387 0
15375 15543 0
15546 15376 0
15550 15703 0
15701 15526 0
15287 15715 0
15867 15316 0.002
15802 16144 0.002
15566 15710 0.002
15712 15569 0.002
15815 15612 0.003
15321 15673 0.003
15608 15768 0.004
15671 15336 0.004
15689 15986 0.004
15988 15687 0.004
15750 15459 0.004
15460 15754 0.004
15767 16208 0.004
15622 16159 0.004
16164 15616 0.004
15857 15756 0.005
15759 15865 0.005
15488 16066 0.006
16189 15241 0.006
15426 15956 0.006
16204 16109 0.007
15345 15594 0.007
15641 15575 0.007
15650 15994 0.007
15305 15643 0.007
15603 15555 0.007
15957 15423 0.008
16096 15538 0.008
15534 16101 0.008
15720 15652 0.008
15410 15854 0.009
15852 15212 0.009
16062 15407 0.01
15404 15960 0.01
15485 15832 0.01
16194 15396 0.013
15391 16197 0.013
15627 15472 0.018
16107 15352 0.02
16151 15625 0.022
15211 15308 0.025
